p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11
0.11252129,0.67364585,-0.33399487,-0.21083778,-0.6049823,0.9287336,-1.6570219,0.536185,0.51905864,-0.92008686,1.7527893,-0.22966124
0.30413812,0.38148618,-0.28591603,-0.73391044,-0.63769823,-1.6503212,0.69149005,1.5087439,0.025231536,-0.59496844,1.3876901,1.1706265
-0.19009413,0.73115337,0.76252216,-0.27061412,-0.3788188,-1.600195,-0.19171633,1.3446989,-0.4206566,-1.5166025,1.5566711,1.0286673
0.8395585,-0.13023564,-1.2979532,-0.7914159,-1.6273525,-0.37074578,0.08509285,0.6945631,-1.5395664,-1.303737,1.6397556,3.1796987
0.34895498,0.4886941,1.148051,-0.12339746,-0.86389554,-0.25361603,0.58670455,0.9621797,-0.3373451,0.41256163,1.780425,0.79336876
1.2765625,0.24969357,-0.11888009,0.7630051,-0.2918735,-0.70441085,0.2568789,0.5026268,0.3326859,-0.109888256,0.9724551,0.9300385
-0.75439495,-0.5892213,-0.6188991,0.6079032,-1.7573396,0.43386936,-1.1091437,2.2582746,1.7885888,0.41191566,1.5338165,1.1045688
-0.082226545,-0.49193996,0.17900005,-2.053632,-1.1688559,0.6235703,-0.06171799,-0.049693406,1.4785452,-1.7443453,0.7910728,1.6440594
0.5836255,-0.01211702,-0.71883625,-1.7660304,-0.51164806,0.28386834,0.29188678,0.058649432,1.3272716,0.044828985,1.7324605,1.774879
0.0038188258,-0.18872325,-0.31604975,0.3095175,-0.3421757,-0.21880591,0.31610584,-0.3642313,0.18011472,-0.23890409,1.5178788,0.47405362
0.11547075,-0.22024697,-1.2081726,1.2177681,-1.1542425,-0.81915355,-0.35087705,-1.2118659,0.51947796,-1.0559828,0.7285319,1.3341409
1.3272523,1.8515795,-0.0032289387,-1.6906873,-1.1702831,1.212345,-0.33139235,-1.0558174,1.0985737,-1.1667837,2.0053153,0.70031285
1.9996195,1.807463,0.7431971,-1.5656809,-0.017768066,0.70901746,-0.1621008,-0.77638584,1.984032,-1.0475898,2.5171344,0.67203254
0.9268315,1.3980882,-0.07079211,-0.8327168,-0.6605283,0.7752881,-0.468458,-0.6312037,0.5433443,-0.7507973,2.3490293,0.6968952
1.8310622,1.3010772,0.85781527,-0.6541287,0.46443385,0.11076988,-0.21032543,-0.25264555,1.8839784,-0.614565,2.6972308,0.5577498
0.04444211,2.1422305,-0.8118086,0.18964893,-2.3432863,0.5979341,0.77441925,1.121643,0.94629794,0.4087616,1.0250404,0.33694443
-0.043710522,2.044257,-0.52438176,0.30806595,-2.0752716,0.7994773,0.7748387,1.0329167,0.91252357,0.4216894,0.9056381,0.29243943
0.11558835,1.8823776,-0.41239488,0.3471169,-1.8936034,0.8421415,0.75214934,0.94499075,0.8311908,0.47174138,0.90913945,0.31168085
-1.714199,0.40942726,-0.41400835,1.6344067,1.0461154,0.19738908,1.6131576,-0.9269485,-0.17221251,-0.17836565,3.5791175,0.20339046
0.48938787,0.49284568,-0.2817499,-0.979521,-1.5478978,-0.8684382,-0.0032405935,0.01667831,-0.17034644,0.21950997,1.8466334,0.058354165
-0.3804878,1.9120982,-1.5407873,0.34353065,0.9369828,0.39025152,1.1733966,0.8443891,0.34431154,0.4176411,2.6927302,0.7268641
-0.44668496,2.0195003,-1.6021109,0.27134165,0.91041225,0.4210091,1.0478119,0.95827967,0.34632203,0.26304305,2.729514,0.62430245
0.19802986,0.64290994,0.44859344,1.9788322,-2.8222578,-1.772718,0.4161524,2.8923028,1.9162835,-0.40170798,0.32198378,1.166764
-0.5169596,-0.080722585,-3.0887995,-0.31102023,0.003077091,-1.3542913,-0.77259624,0.10845776,0.16687107,-0.65456665,2.0874445,1.8556366
0.44865486,-0.016373336,-1.6404729,1.5488279,-1.7083958,-1.8833206,-0.05246449,-0.07263037,1.3814707,0.20248304,1.3491567,-0.75758564
1.0720747,1.1708633,1.5268263,0.097029395,-1.799797,-0.4371859,-0.53051203,0.885164,-1.0141441,0.013131796,2.5078745,-0.7233646
-1.091259,-0.46435383,-1.1969072,0.016925214,-1.5584946,-0.34940946,1.4048318,0.90012634,-0.12169656,0.49308455,2.3347485,-0.96943814
0.10486012,1.8142322,-0.38853857,-0.27283478,0.43821624,-1.0400534,0.112317465,-0.6140964,1.4519541,-0.93878174,1.3531959,3.7556186
-1.4611549,0.33673713,-2.0632715,0.34256157,0.62794626,0.009088639,-0.28673932,1.011004,1.443474,0.20970333,2.3132532,2.0753424
-0.9612508,-0.3077612,-1.7862186,0.07903163,0.043613583,0.09555369,-0.49956408,1.3323928,1.836142,0.012481324,2.1182046,2.039971
-0.15839292,-0.5765854,-1.3153636,0.18935864,1.0182585,-0.43037727,-1.94959,0.33161628,1.8515481,0.39063856,2.643252,0.82498825
-1.0442436,0.38858446,-0.50496364,0.011989794,-1.1763456,0.39939263,-0.30344543,0.11844454,-0.34585524,0.08974954,1.8118558,0.21097554
-1.4962605,0.19977309,-0.26943147,-0.36985612,-2.2036524,1.3826048,-0.5113454,1.2402751,-0.9193385,0.7272521,1.2155908,0.46323416
1.6805575,-1.5409545,0.29595745,1.5325788,-2.598577,0.20829417,-0.22711064,0.095562115,1.3577248,-1.7595944,0.96897835,-1.46783
1.8044686,-0.3701193,0.99755204,0.5187228,-2.9297917,-0.25918558,-0.22702418,0.37288395,1.7211956,-2.3050766,0.861147,-1.9519851
1.1253983,-0.8710825,0.63281465,0.70008254,-3.4929008,-0.36443433,1.3368413,0.3738919,0.34776774,-2.430044,1.28242,-1.9907941
2.591317,-0.711487,0.77643585,0.6927821,-2.180093,-0.13593233,-0.61722386,-0.56616914,1.3852459,-1.2112411,1.4141518,-0.4428349
1.7417332,0.40338254,0.99293244,-0.41314343,-2.2828202,-0.8418817,-0.87520397,-0.7019788,1.2323166,-1.8746308,1.682292,-0.94660527
1.4939932,-0.019302197,0.3413281,-0.26638126,-3.1770883,-0.88337904,-0.047783542,0.23479842,-0.07786429,-2.4560993,1.8082565,-0.6623604
0.8342338,-0.28871733,0.43602014,-1.5998966,-1.0642449,0.6004068,-0.531549,0.63148814,1.0982682,-2.5059104,0.9529681,1.6021848
-0.50515914,-0.06715262,-1.8414878,-0.3270148,-0.985368,0.23967607,-1.4507552,-0.30662274,2.0068781,1.6897827,1.9074217,-0.8437319
