p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25
-0.24415997,0.8795356,0.13047144,-0.20993121,-0.3435017,-0.25483814,0.0109159425,0.47747588,0.22884853,0.3305736,0.4424483,-0.09862478,-0.2474361,-0.30387086,0.30607182,0.38465247,0.40424213,-0.31999516,0.41622382,-0.7179728,-0.2693085,0.042919654,0.05242765,0.19397709,0.4910511,0.33525074
0.5893156,-0.15429774,0.20118332,0.31400093,-0.10949176,-0.5428556,0.60892326,0.5916122,0.0059179086,0.7351092,0.6379963,-0.97979534,0.26506174,0.4074111,0.26973495,1.4274744,-0.027048228,-0.085141264,1.8977312,-0.9784396,-0.17832258,-1.2356495,0.9424598,-0.7175255,0.2839003,-0.64022577
0.14702271,-0.27732727,0.32451987,0.9368856,0.8112497,-0.2585659,0.99198955,-0.13746087,-0.08328217,-0.24124649,0.51621926,-0.32051715,-0.86267483,-0.21891321,-0.13331366,0.17455857,0.09190395,-1.1786906,0.51594985,-1.0495601,-0.8799647,-0.85383606,0.9313566,0.5685817,0.80206907,-0.5218094
0.6626823,0.18160272,0.13924135,0.17899977,0.55034786,-0.56788516,1.3727418,0.60337096,-0.31418028,-0.0019164484,0.5952412,-0.3649052,-0.5941869,0.084430665,0.94811845,-0.11436228,-0.24602799,-1.4098954,1.0184743,-0.9033903,0.018143248,-1.1074905,0.782014,0.25674036,0.53721005,-0.54312336
0.30750623,0.34499744,0.44648454,-0.11958224,1.0972106,-0.19191201,0.39971095,-0.6113798,-0.3355416,0.9838411,0.6009744,-0.29769295,-0.42361593,-0.3620251,-0.6704454,-0.44095,-0.6348781,-0.5118827,0.9566298,-0.06866642,-0.33490363,1.0477788,1.1133211,-0.06937449,0.6774123,0.6292769
-0.1976995,0.68951756,-0.35520023,-0.15395762,0.21647762,-0.5314368,-0.74547523,0.32761934,-0.3587467,0.715183,1.8758506,-1.1034063,-0.7718764,-1.049381,-0.49603537,0.8375572,-0.82122827,-0.05943591,-0.048956465,-0.0017240813,0.46786124,-0.2671463,0.7542173,0.1938567,1.2177857,0.37922916
0.32402313,-0.15656039,-0.11837006,0.26814744,0.46578947,-0.13136303,0.39046764,1.1181784,0.5534548,1.1251286,0.46315458,-0.108640015,-0.21788625,-0.26996076,0.1808969,-0.4701152,0.77244806,-0.58247477,0.024258526,-1.7579241,-1.2115877,0.3811185,0.79924,0.10820167,0.4496566,0.55760074
-0.42828932,1.3957211,-0.7085775,-1.1861165,-0.39645836,-0.35276714,0.45460302,0.5175628,0.7767819,2.36496,0.7729122,-0.49568102,0.08411453,-0.04611173,-1.0124921,-0.23514408,0.14392005,-0.2943634,0.4142717,-0.5858529,-0.27536544,0.52522045,-1.0211095,-0.23109867,1.206751,0.992519
-0.24035725,0.9154319,-0.07618394,-0.5745553,0.26437384,0.80097055,0.58440685,0.91563463,0.922346,2.0513158,1.5958626,-0.44336948,0.54430044,0.5498546,-1.0904669,-0.715485,0.01566118,-0.2452983,0.68896323,-0.9796039,0.1348476,-0.29340222,-0.7467443,0.086474344,0.9491017,0.024777193
1.0592386,-0.5586146,0.5152472,0.3241989,-0.6107,-0.4575316,0.6418389,0.473179,1.4862919,0.8975051,1.1182392,1.0497049,-0.8331754,0.7890208,0.41221407,1.0717026,-0.019268079,-1.6429874,0.9817227,0.19890931,-0.23397945,-0.17109327,0.38287967,-0.35637227,1.0264047,0.6116907
