p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28
0.40535748,-0.2921878,0.38608482,0.12525351,0.9184505,-1.0444281,-0.08057722,1.1394808,-1.0080016,-0.06778185,0.0029763575,0.76201594,0.80428106,-0.33326772,0.6314142,-0.3547288,1.0082321,-0.4327306,0.47348136,-0.1837348,-0.0009398074,0.478379,-0.4085043,-0.039911516,0.48959106,-0.30926603,-0.17250188,0.21428649,-0.06427065
0.47092232,-0.23663849,0.3822808,0.12988335,0.55376107,-0.6995431,-0.09136789,0.71285486,-0.71434623,-0.53707945,0.20334564,0.77719575,0.62303096,-0.6210145,0.6983273,-0.2873396,1.14463,-0.16390505,0.25723538,0.14839186,-0.3018393,0.16339381,-0.15133448,0.0017792926,0.5566453,-0.49173176,-0.44602585,0.03775658,0.33247694
0.52119976,0.68615204,-0.34040618,-0.02889196,1.155455,-0.6718059,-0.020176126,1.5340419,-0.78035426,-0.8986521,0.17236263,0.18221882,0.9696016,-0.2648871,0.25483277,-1.4519777,1.3472133,-0.4823743,-0.554271,0.19784908,-0.06880919,0.3862208,-0.42890152,0.5301102,1.2617319,-0.08744347,0.28437772,0.20595753,0.41848674
-0.1942981,0.3154776,-0.14696306,0.5630538,0.5033572,-0.7438166,-0.1999765,0.55947155,-0.055607222,0.5964618,0.28437582,0.5314502,0.1477245,0.45821562,-0.42205533,0.12535568,0.32656893,-0.41197902,-0.13451155,0.31430462,-0.14771692,0.11174191,-0.466597,0.44503778,-0.029111383,-0.09673443,-0.36799783,0.12347919,-0.08444027
0.69070846,0.2724485,-0.5404234,-0.5986981,0.54504836,0.06377787,-0.9341468,1.5430846,-1.2707664,0.030864077,-0.34725073,0.11361201,0.8246521,0.22377865,0.445601,-0.9199296,1.0180998,-0.9137797,0.033590745,-0.97959334,0.32633457,0.8008264,-0.5417138,0.20461266,0.05416406,-0.24576852,-0.44085106,0.5636637,0.9591554
0.58267915,0.27481246,-0.2585597,0.08860902,0.45757025,-0.8816371,0.074510954,1.0726608,0.14974271,-0.032014,-0.72174406,-0.10939322,-0.6350482,0.45314303,1.2739241,-0.55619496,1.2285407,-1.1505951,-0.13753001,-0.21453963,0.38098216,-0.6717707,-0.6523852,0.27245334,0.033609502,-0.38763815,-0.6667539,0.35883388,0.17146665
0.14873503,-0.033387862,-0.5885774,-0.2636798,0.14578359,-0.9256812,-0.24612044,0.9200999,-0.38993195,0.45165297,-0.42076367,0.91033924,-0.34345177,1.0664753,0.84932876,-0.22265199,1.3113662,-1.0642626,0.3161205,-0.5444894,0.4909161,-0.06715185,-0.29964316,0.36951125,-0.12752992,-0.4672088,0.1643646,0.69946384,1.077476
-0.5411332,-0.22370003,-0.061834443,0.2912342,-0.008009787,-0.4285752,0.17425211,0.9528133,-0.78178984,1.0944701,0.028234469,-0.42426616,0.9817975,-0.27995762,0.61036974,-1.0891156,-0.17963897,-0.64112896,0.033420127,-0.04096841,0.65340024,-1.0459427,0.3073691,0.16598353,0.5691637,0.59037685,-0.5410548,0.23850654,-0.23568715
0.20728567,1.7484144,-0.6833829,-0.44999176,0.23779203,-0.58738375,-0.111030065,1.1661694,-1.555651,1.2020726,0.95834696,-0.11107098,0.52888143,0.25746945,-0.48950696,-0.18089727,-0.13615721,-0.42206535,0.34276843,-0.5188067,-0.6819529,-0.42746565,0.41472644,-0.018338112,-0.46314517,-1.0436581,-0.53772044,0.3430396,-0.58060724
0.5518313,0.89031637,0.6923827,0.8149154,0.49807754,-0.2104338,-0.21425411,1.010529,0.62838024,0.5705865,0.62183434,1.3888136,0.38273066,0.905722,0.62042314,-0.254992,1.0555166,-0.104506105,0.13745776,0.11337869,0.8423958,-0.5434765,0.08344037,0.28164613,0.23334599,-0.36961016,-0.24611065,0.055891663,-0.42175922
