p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
-0.02482902,-0.20094204,1.3170658,0.2633838,-1.0691195,0.026804704,-0.79116666,-0.54200566,-0.16690241,0.13128723,-0.3865524,1.0481033,0.462521,0.31921384,0.77113026,0.3104205,1.3784989,-1.1191062
-0.061048977,1.3103868,1.2645088,1.2386144,-0.12280488,1.1199999,-0.47524825,-0.6717965,-0.0063635036,-0.21001427,0.56815064,-0.22750029,-0.93781877,-0.15189232,0.77843255,0.64460826,1.2326589,0.9036356
1.525489,-0.8626338,1.3515781,-1.0503017,-1.1167608,1.1046108,0.5212278,-0.42379716,-0.1360259,0.50690436,-0.20924953,1.6950746,0.87846494,1.5704018,0.4902281,0.373433,1.0819156,0.19823886
0.17268106,1.70862,1.1695087,0.4336424,-0.40916649,0.97075593,-0.63967115,-1.382637,-1.238906,-0.36429566,0.24286054,-0.6486999,-1.2031306,-0.5299204,0.7163907,0.38780656,1.5290143,0.5464005
-0.65875286,-0.72441626,-0.2868475,-0.05761163,-0.6612492,-0.118605494,-0.25838658,-0.36370894,0.16863823,-0.73561645,1.6254078,0.3409916,-0.4424644,0.17571796,-0.81491536,0.45900944,1.087253,-0.6827763
0.53182924,-0.889739,1.2144529,1.0170611,-0.8107596,0.8779943,0.16182072,-1.250938,0.12407942,0.67236423,0.10485102,-0.20315571,-2.7282195,0.18088011,0.20135333,0.38578898,0.48488137,0.6668239
1.0089457,-0.41205657,1.7754521,0.5813403,-0.8827305,0.2317387,0.41373545,-1.0274605,-0.21058908,-0.25015232,0.65410435,-0.16977318,-1.9762455,0.3046092,0.28672507,0.27319583,0.5324658,0.6278367
1.0216169,-0.51317453,1.754735,0.8272615,-0.8537384,0.2620148,0.3892535,-0.84141666,-0.30470422,0.037655514,0.65398306,-0.2468619,-2.0643506,0.42967814,0.31926137,0.34821188,0.4541131,0.6100265
0.1487638,0.5200531,0.03825174,-0.004314374,1.0288383,-0.09192522,-1.0115589,-0.22868773,-0.33430007,-0.45946887,-0.6405005,1.6521802,-2.058816,1.301226,0.39182866,0.7797695,0.75284404,-0.18122776
0.44163328,0.3024023,1.6786052,0.64807284,0.11468933,1.6312369,1.821553,-1.0449953,-0.13932444,-1.164067,-0.47732928,1.3630923,0.46294674,-0.08772249,0.40137243,-0.26085544,2.3185816,-0.52055
-0.28092515,-1.3045094,0.54100084,0.71746796,0.73848504,0.17493173,0.46642268,-1.5963742,-0.36305198,1.3871094,-0.059642006,0.74395424,0.17916736,2.0113156,0.49294764,0.81977504,2.2965937,1.4826298
0.119749665,-0.8119293,0.048269585,0.8833753,0.40885693,0.37235555,-0.13464299,-2.24323,-0.6543997,0.6503998,0.66870624,-0.066756114,0.49057052,2.3261456,0.71869546,0.2278072,1.9844958,1.3500533
-0.0162775,0.36111158,0.57893866,0.29686952,0.3196255,-0.30881873,-0.41678843,-1.0946355,-1.027663,0.2608641,-0.25830933,0.0764628,-0.20966476,0.207028,1.3763602,0.5264028,1.4969479,-0.45602024
-0.03314909,0.46071333,0.7126117,0.2705673,0.32952395,-0.26192296,-0.36053655,-1.085834,-0.9243133,0.2810318,-0.26177153,0.10286136,-0.24420708,0.22175846,1.4037179,0.564438,1.5143913,-0.6003441
0.8786779,0.80269843,1.4011894,-0.15855223,0.33593896,1.7381498,-0.2995943,-1.4812437,0.64418465,0.12778415,1.7691146,1.4119387,1.0739452,0.27252254,0.9171581,0.54343563,-0.44060808,-1.1690742
0.21013306,-0.05406066,0.30659384,0.2192756,0.15604763,0.60889554,-0.01789234,-0.37667227,-0.020600317,0.06076479,0.7334335,0.08510435,0.34940952,-0.009899117,0.3186857,-0.053664587,0.22840528,0.29605463
-1.3872141,0.26745003,1.3359287,-0.5160564,0.023924658,-0.45245394,0.536225,-1.9226556,-1.9211268,0.42995766,0.34009618,1.7661718,-0.52714837,-0.46989816,0.46163192,0.99489814,0.02936281,1.5059975
-1.5438821,2.719231,1.8287224,-0.8107841,0.85337865,0.032363642,0.07297757,-2.5916605,-1.6389936,0.19535641,1.0248997,1.6080266,-0.15509848,0.5926768,0.2274278,0.36766434,0.7005836,1.6866864
-1.3053036,1.9475515,0.9801792,-0.23647553,0.52581245,1.0912124,-0.9689458,-2.0130637,-1.0665992,0.11791054,0.47408018,1.0936989,-0.6980954,0.21577236,-0.026667112,-0.21011281,1.3834022,1.3607006
-1.0060564,0.3034456,0.8265399,0.22966914,0.0031018693,0.8172592,-0.24599698,-1.6264843,-1.100772,-0.03338207,0.30687904,1.5502473,-0.46607357,-0.2917184,0.21443544,0.6312088,0.5195006,0.8456455
0.051507432,-0.25946793,0.32800376,-0.4006951,-0.33509028,1.3132985,-0.8356658,0.079109445,-0.37102327,-0.61366445,0.3035646,0.44158342,0.2439367,-0.49399918,0.15953757,1.8571826,1.2149895,-0.9787439
-0.558103,0.6360204,1.5778072,-0.96805346,-0.09703428,1.8090118,0.39643857,0.18991554,-0.87193114,0.027349953,0.19857012,0.92648226,0.9730224,0.5858152,0.9089959,0.5198774,-0.41577867,0.5175794
-0.05713944,0.33714777,1.2828336,-1.254295,-0.4525353,1.44452,0.2854132,0.37857756,-0.70234543,0.12619586,0.2040861,0.7924675,0.6791355,0.45247385,0.8794215,0.78138804,-0.19660732,0.6371347
-0.31041247,0.6600051,1.2679458,-1.0369943,-0.22653176,1.5457652,0.5631607,0.31719276,-0.6882554,0.10436067,0.2914126,0.86805874,0.6233299,0.5237472,1.0536966,0.89766526,-0.17930864,0.66805214
-0.15956442,0.55260044,1.1621083,-0.85342836,-0.35577992,1.5475053,0.49413186,0.14781639,-0.7067771,0.054370914,0.31649077,0.589914,0.53880996,0.4684052,0.87720114,0.8805218,-0.22814845,0.5028574
-0.5329685,0.12938616,1.3481472,-0.22910748,-0.2273297,1.1124626,0.7759905,-0.84594804,-0.51915205,0.0021859966,-0.015240892,0.038251653,0.29519865,0.014000707,0.7608765,0.8817083,0.38784853,-0.058831763
-0.37968644,-0.08001413,1.2627532,-0.13760792,-0.39909142,1.0154709,0.577614,-0.5929155,-0.4860773,-0.14525516,-0.1487086,-0.51866484,-0.11044164,-0.34692666,0.56239086,1.0563792,0.24311309,-0.2183047
-0.3117371,-0.16004689,1.5133626,-0.028077729,-0.60874546,0.9269298,0.47553176,-0.28237572,-0.42274934,-0.17692554,-0.1257359,-0.4387636,-0.19473323,-0.3040237,0.6702896,1.4066075,0.20522302,-0.43640608
-0.12140086,0.13433959,0.86162,-0.26446676,-0.01296633,1.0742785,0.3763704,-0.6358587,-0.36555865,0.10654395,0.047624834,0.23011853,0.47620812,-0.026952378,0.49267992,0.7735184,0.057002988,0.5555603
