p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
0.57229114,-0.6000379,-0.56347203,1.0461047,-0.57423776,0.3167877,-0.23095018,-0.8794042,-1.4081212,0.83885163,0.6650819,0.021970274,-1.858426
-1.4386991,0.5581042,0.059795782,0.62019575,-0.3951122,0.62925416,1.5586504,-0.5588143,-1.5122725,1.6678379,0.29527166,-0.38080245,1.0677667
0.70952183,-0.3366232,1.6913352,-0.9845007,-1.4665391,0.23892121,-0.9973088,-0.50765127,0.30186388,1.1900964,1.0463914,0.74442035,-0.63928217
0.10965327,-2.314123,-0.5444973,-0.891403,-0.21229203,1.1228344,1.6008483,-0.6625913,-1.4239981,1.8810385,1.8667428,-0.15674675,-2.157328
-0.29481655,-1.0314275,-0.74969167,-0.7550387,-1.4157474,0.28939664,0.9515513,-1.0038412,-0.5636702,1.9817971,1.9393531,-1.6403856,-1.3094096
-0.16466205,1.0529015,0.92820174,-0.59351957,-0.21436647,-0.025675435,0.790451,-0.6541016,0.14201401,1.440164,2.2193341,1.4534154,2.25248
-1.2056283,0.3454571,0.8770176,-1.0330681,-1.718095,-0.4243745,1.6325464,0.06604389,-1.2899144,0.95387703,-0.47236854,2.4520636,-0.35446805
-0.5745356,0.8829452,-0.31874365,0.88714474,0.21861705,1.0330265,0.7154397,-0.046304636,-0.3747131,1.2649882,0.170145,0.8459212,-0.3755123
-0.5875298,0.85253423,-0.07338684,1.4722948,0.35376382,0.7713584,0.8620906,-0.00963124,-0.53577495,1.1256189,0.24664594,0.67564493,-0.49961993
-0.5971862,1.5476122,-0.7328062,-1.9506885,-1.1250803,-0.100517474,-0.5929162,-0.7043197,-0.7316373,2.5769925,1.5842167,-0.56532705,-0.255346
-0.6574821,-0.47504452,0.29739973,-1.2166439,-1.2184961,1.4097646,0.082757846,0.339657,-1.6445761,2.2978258,0.6593554,-0.038985904,0.19684957
0.027216297,1.2766594,0.5450568,-2.2754583,-0.59398174,1.3176944,-1.1905556,-1.7538431,-0.5769343,1.7780476,0.3709441,0.07784139,-1.3923903
-0.77481073,-0.68132704,0.77737135,-0.22495262,-1.0653614,1.4823377,-0.4617994,0.037511528,-0.46698296,1.2155143,-0.05295097,0.040229455,-1.4594042
0.56311834,1.2115636,-0.42367265,-0.3810903,-0.93085617,0.105113305,0.59992063,0.19372891,-0.16032588,1.0680008,1.6300007,1.3889505,0.20697476
-0.6585142,1.2377192,-0.089711264,0.6983031,0.6853655,1.188221,0.88418823,0.22170918,-0.7860191,1.8039392,-0.06647258,1.2477033,-0.7737692
-0.6776842,-1.0484153,-0.34602857,0.3417227,-1.6698375,0.5137522,-2.2786288,-0.9415069,-2.2280512,1.4272027,0.06080083,1.116942,-0.6197602
0.16857038,1.0018636,0.084116384,-0.13469283,1.3962185,1.7642152,0.39334908,-0.61265546,-0.44210196,2.467987,-0.42552876,1.1693708,-1.1237524
-0.18447416,0.23101181,1.2300957,-0.6818939,-0.7077147,0.89533776,1.1284423,-1.0713856,0.37481302,0.59495395,-0.18921368,-0.672423,-0.46628484
1.3930322,-0.5043166,0.12900731,1.6222627,-0.3556298,0.14275451,1.497408,-0.60361934,-0.46008205,2.7132246,-0.39674556,0.77401894,0.22008225
1.4216912,-0.45597732,1.0748963,0.87533194,-1.2392497,0.04378394,0.9570741,-0.38093364,-0.87152135,2.4207118,-0.41217336,0.4897665,0.062658556
1.3926412,-0.6510943,0.73184824,0.9420211,-1.1700999,-0.2601138,1.2455665,-0.35017484,-0.84012973,2.3111258,-0.22289726,0.42649034,-0.007166066
-0.3174627,-0.6381319,0.82413906,-0.45330688,0.4466856,-0.66534585,0.17028625,-1.3934381,-1.4182339,1.3142896,-0.70377195,-0.1899536,-1.9647205
0.45179987,0.19884793,0.4481813,-2.4516616,-0.4549703,1.2405121,-0.7685963,-1.1415066,-2.2405012,1.9489726,1.0004183,-0.28195405,-0.69763625
-0.5445052,-0.01031933,-1.0681114,0.7237562,-1.1378102,-1.1529826,-0.6187342,0.14793074,-0.41298825,3.6265957,0.9336647,-0.17495726,-0.9695777
-0.8819798,0.40273744,-1.3284017,1.0323175,-0.8417048,-1.4475101,-0.06566835,0.2731473,0.045912165,3.4281418,1.5312802,0.4458715,-0.6459634
0.009842802,1.2962335,0.79227424,-0.7212901,0.23801267,0.27706733,-0.63349384,-1.03702,0.45088473,1.6153266,0.06116433,0.8487442,-0.6555997
-0.09553195,1.4240859,0.72457486,-0.69607574,0.36266136,0.26426244,-0.53062767,-1.2169764,0.31072795,1.4737849,0.059182175,0.6745614,-0.7397371
0.34930956,0.13194315,-0.64305234,0.4449646,-1.4009285,2.3232386,-0.13207485,-1.5908568,-0.5661804,0.47279128,0.9228541,1.0587206,-2.3776107
0.3313323,0.29811788,0.21399696,-0.2723317,0.1463522,0.13823761,0.5221325,-0.5605712,0.25623524,0.14672619,0.6351025,0.59503865,-0.2955622
0.41447163,0.43377802,0.9818259,1.2348948,0.64174956,0.5319434,-0.513489,-1.195468,1.4660265,2.6444752,0.1563484,0.86040246,-1.4408361
-0.79068804,-0.26310873,1.4981455,0.49659765,1.3416724,0.33598727,0.78416634,-0.14567274,2.1627412,2.9121249,1.4795145,0.78158903,-3.1306133
-1.4765674,0.17078823,1.061377,-0.020012463,1.0021834,0.4344367,0.96962744,0.644223,1.0742409,3.4527166,1.2920282,0.54668134,-1.811121
-0.6804057,0.31919706,0.6926343,0.89251786,0.3745031,0.426291,0.13363841,-0.8176426,0.89945537,2.4512491,0.68875855,0.9712408,-1.6085904
-1.1666791,-0.21561904,0.59052116,-0.93023086,-0.38856575,-0.3839043,-1.8825849,-0.8239184,-0.08923333,0.9098444,1.0731301,0.62951046,-1.0850418
-0.5137878,-0.12179576,1.2460126,-0.33419308,-0.38220373,1.533925,-0.608038,0.04808482,-1.4403892,0.18546666,1.2047722,1.1115023,0.31580523
-0.43145156,-0.06468778,1.1273484,-0.52102923,-0.56996864,1.2552446,-0.7089116,0.35940352,-1.0311477,0.2416411,1.270434,1.4230947,0.42941567
-0.7903765,-0.06802602,1.100563,-0.45056987,-0.5242869,1.2301555,-0.7656802,0.24303997,-1.3403552,0.2059014,1.108956,1.276141,0.13500486
-0.76346046,-0.08557728,1.0477633,-0.36127728,-0.57113606,1.0491611,-0.57790196,0.16460052,-1.0392697,0.18363024,0.9765984,1.4913461,0.06456292
-0.30127177,0.78812474,0.909615,-0.5984809,-0.055212125,1.3489717,0.5532697,-0.16825344,-1.0046382,0.1626556,0.6279662,1.3976667,-0.06509702
-0.38793764,0.74247694,0.66397226,-0.49578378,0.007129772,0.9264651,0.51937103,-0.018948888,-0.91343874,-0.07244081,0.49639967,1.7028185,-0.2909338
-0.3814788,0.45395312,0.635346,-0.44308674,-0.28250206,0.7044986,0.63756627,-0.025690017,-0.95189464,-0.10826717,0.6479762,1.9584724,-0.3206683
-0.407531,0.45383242,0.46357024,-0.27778402,-0.39205122,1.0928113,-0.18814121,0.09281072,-0.65851223,0.47157124,0.47009692,1.0553728,-0.10238749
-0.4292075,0.5964068,0.5376718,-0.25137097,-0.42759845,0.8265756,-0.113545135,0.07900271,-0.37948117,0.43114623,0.72976047,1.5543331,-0.056899477
-0.45304927,0.61125517,0.45297673,-0.38484856,-0.33754534,0.80369574,0.092005275,-0.041001674,-0.5030478,0.3318536,0.533925,1.3871751,-0.17023262
-0.51499087,0.56399953,0.41617644,-0.4156043,-0.31453374,0.86934674,0.07249731,-0.10046626,-0.30476144,0.38375208,0.6029446,1.4876982,-0.28329915
-1.0250223,-0.32499662,0.8374562,-1.476917,-1.4481932,0.058501735,-0.33177274,-1.0839853,-0.5186597,1.2773767,0.9859917,0.8949203,0.7220199
-1.0578029,1.3311986,1.3437017,-0.5536851,-0.7139329,1.3739694,0.7665098,-0.32079008,0.48583743,1.055931,0.7275485,-0.241965,-0.8492161
-0.8399055,0.061040726,-0.010991397,0.98900235,-1.0390228,0.114467226,0.5740138,-0.5781811,-0.8022975,0.87012076,0.34302336,-0.496131,-0.060975272
-0.26763406,1.243683,0.0026566386,-0.31327116,-0.436609,0.5714787,-1.2062688,-0.64174,0.6157398,1.7649816,1.2812836,0.14556818,0.2467703
-0.46716866,0.9029835,0.88760525,-0.7154271,-0.74555165,1.0608788,1.4557494,-0.5489515,0.24424723,1.1655879,0.5146383,-0.024945443,-0.47121555
-1.260446,0.5411399,0.5299826,-0.6620572,-1.0815759,-0.06860782,-0.7529147,-0.51482797,0.09054459,-0.107361086,0.92298675,1.0478367,-1.3856701
-0.19476983,1.2480247,-1.1447058,0.57170093,-1.7568449,-1.5108382,0.37279248,-0.45451856,-0.2796283,2.3873653,0.36123797,0.8314343,-0.40676185
1.1474226,0.09042812,0.3307538,-1.0780255,-0.627664,1.1249005,-0.6170848,-1.3654578,0.0861269,1.530647,1.177779,1.0505196,0.5122314
-0.017970877,0.13240056,1.2342757,-1.2882572,-2.144669,0.5250154,-1.0887343,-1.0017681,-1.4466337,1.8186836,0.44045335,-1.3306453,-1.0521138
