p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9
1.3286191,-1.4613401,-0.8544988,-1.2947526,0.8594375,-0.3745605,1.189652,0.7189454,-2.3506517,-1.1588962
0.15802866,2.3451488,0.585802,-0.19597146,0.5163832,1.0826825,0.49974418,1.1041161,-2.589538,-1.6867731
-0.13235192,1.5496602,0.07744126,1.0944798,0.2304352,-0.86079466,2.169445,0.041144315,-1.4817485,1.0616578
-0.9946433,-0.65087795,0.4579194,-0.15500148,0.5427908,-2.8161032,2.2001023,-0.34823504,-1.7305346,0.5686271
0.08585836,0.3060072,1.5866781,0.6580034,-0.101903625,-2.3379216,2.9552386,-1.0076864,-0.48554128,-0.7632895
0.25014913,0.19830972,1.9205768,0.2946104,-0.67698455,-2.2280428,2.8290257,-1.4301633,-1.3654603,-0.3906414
-0.1459727,0.33241767,1.3206695,-0.12382869,-0.7489081,-2.0150661,2.6428912,0.29740852,-0.4157683,-2.1611404
-0.18758124,1.2386557,1.3676431,0.8487316,-0.41443968,-0.23108922,1.1609911,-0.56509423,-1.2452095,0.31200394
0.2521827,3.0992048,0.29150516,0.45184338,-0.70623237,-0.14158517,1.2348193,-0.21249582,-1.7579908,0.90158135
-0.9748621,-0.90828234,1.2257208,0.57031804,1.1755908,2.8180087,0.25136957,1.1200016,-2.4177587,0.62880266
-1.2705921,-1.3118283,1.0961308,0.3083585,1.485699,2.9874055,0.4380677,1.2993665,-2.2713826,0.10531335
-0.48553407,-1.0481963,0.40334415,0.17156295,2.4506557,1.8660794,0.09674979,1.1943568,-2.6299284,0.455219
-1.9900696,0.8580945,1.9838281,0.41911334,0.035324886,2.0901659,1.017448,1.4966913,-2.5402987,0.9337371
-2.281593,0.38876134,1.7969104,0.42448258,0.54399604,2.1332498,1.0853947,1.6368876,-2.1979637,0.2850709
-1.6018733,0.62870884,1.4152162,-0.14619213,1.6746765,0.95276326,0.1767703,1.0076616,-3.4450889,0.40607035
-0.81112427,-0.4927902,3.0324621,-0.71874726,1.4478762,0.10038896,-0.118402526,0.18658906,-1.2272019,-0.71276987
2.2594876,1.8400352,0.06170196,1.0585046,1.0540639,0.16305402,3.5420792,-0.5676865,0.17944275,-0.44447878
1.0894296,-0.15923679,-0.30615053,0.7095664,0.6499461,0.08581724,2.9879537,-0.69436145,-0.7421074,-0.16830769
1.4525005,-0.23920575,-0.23976855,0.6944738,0.5680246,-0.18787593,3.0734627,-0.6143045,-0.8051327,-0.2183195
-0.965075,-1.6735946,0.3051677,-0.032696426,0.18374136,-0.363775,1.8168522,-1.6452277,-2.1517794,-1.4976149
-0.74701893,-0.4856434,1.5773395,-0.015898485,-0.42213327,0.9524783,0.8108072,0.8913541,-1.5214335,1.0899948
-0.8537376,0.6367225,1.5646508,0.63648075,-0.40599936,0.032524575,1.3834847,-0.15808377,-1.27528,-0.15624611
-0.75665337,0.5452046,0.94999456,0.20222165,-0.35838005,0.5030735,1.6125194,0.7883095,-0.74873215,-1.1385196
-1.0006386,0.12808424,2.0390723,0.35029593,-0.77155745,1.237105,1.5458102,1.7900741,-1.5922176,1.3271108
-1.3941406,0.7692163,1.5578493,0.16461499,-0.36932412,0.9746017,2.207214,1.0539222,-0.76742595,-1.2477276
-0.075433195,0.54212344,2.156158,-0.7011295,-0.50119644,1.5777818,0.7252048,1.7309517,-1.4065635,-0.07353164
0.9365587,0.8430596,-0.006759211,0.50478154,1.0242991,-0.09641134,0.8494675,-0.9457839,-1.9615487,-0.19735701
-1.634005,0.1495258,0.32078704,0.31675172,1.5715531,0.28150085,1.3463963,0.9534238,-1.3570461,-1.4177974
-1.8740236,0.17083561,0.57362455,0.099191435,1.5893701,0.24990055,1.2579547,0.8038819,-1.2084805,-1.5546811
-1.0907791,-0.23741506,0.5023842,0.6056387,1.4788338,-0.49351427,1.008865,1.2558061,-0.706995,-1.2394365
-1.1614379,-0.14903955,0.34831008,0.6945294,1.2062347,-0.36529037,0.8876089,1.3516027,-0.8078626,-1.2308214
0.22086807,-0.4513105,0.4623665,0.5866663,0.62357646,-0.10660689,1.1745737,-0.4439104,-1.6610367,-0.009962633
-0.38177297,-0.8447337,0.29048723,-0.013942614,0.48056653,-1.3784202,2.114497,-0.16992937,-0.7237452,-0.23355924
-0.21712536,-0.10759316,1.1167817,0.17260878,0.97530854,-1.6727732,2.177263,-1.8743639,-1.1707677,-0.9165796
-0.06672807,1.2310584,0.6411239,-0.5848037,1.2838814,-0.5847022,0.20925456,1.8880225,-1.3469609,-2.0538714
-0.7836124,-0.43140727,1.6131423,0.1375851,-0.45680442,0.92716557,0.837724,0.8617977,-1.4876521,1.1594429
-1.3600302,0.2474798,2.350966,-0.2920736,-0.029128987,1.1455338,1.7250614,1.2145609,-0.9159252,0.23867254
-0.5187976,-0.25274408,1.6949048,-0.31878632,-0.56553936,0.15097058,2.1626344,0.9824682,-0.6044226,1.6339654
0.14235887,1.7580699,1.5002365,1.7332407,-2.3920107,-0.58263236,2.204867,0.53488994,-0.72785455,0.40021074
0.1889157,1.755393,1.4045541,1.3897822,-2.4706569,-0.4899275,2.4925852,0.4700034,-0.9071358,0.005830307
-0.3028541,0.5199503,0.72286177,-0.2789638,-0.7857495,-1.0051788,1.8921342,0.9447697,-1.0297401,0.9096268
-0.9355487,0.11120654,1.59018,-1.0896697,-1.4416384,-0.65038127,1.9521551,1.3681523,-1.2552059,0.9090664
0.2337822,0.5964977,0.7798515,0.12824267,-0.47355023,-1.5168498,1.4988307,1.8409154,-1.1411339,0.8936832
-0.29893303,0.082382046,1.9425567,-0.7064565,-1.3836052,-1.4322926,1.2289209,2.3447406,-1.3556074,0.72697
-0.24092992,0.82061046,0.4718055,0.2894567,-0.5744901,-2.2740536,1.7315651,1.3184854,-1.4101747,1.3450352
-0.43817884,0.16380918,1.3737044,-1.112352,-1.5067053,-0.51095045,0.910784,2.209726,-1.4869453,0.5382766
0.7734792,1.1394672,2.2126083,1.0546864,-0.808077,0.12303998,2.228395,2.0190232,0.691755,-0.34808213
-0.11229079,0.7252527,2.9032125,-0.3449007,-1.2120228,0.48461643,2.0141103,1.8711241,0.10464873,-0.27974898
0.022639878,-0.94670707,0.61539006,-5.892357e-05,-0.28837317,-1.5962824,1.7236552,1.3624426,-1.3418167,0.5568034
-0.1920597,-0.31610987,0.53791374,-0.13386765,-0.3347632,-1.1162603,1.8398044,1.1795639,-1.3127546,0.44889525
-0.9008653,-0.8853867,1.7867813,-0.64303255,-0.8913986,-1.8858806,1.3080415,-2.0260623,-2.2130582,-0.2706753
0.41608638,0.5189289,0.6627416,0.5219023,-1.1124153,-0.2135371,1.5284454,0.89159966,-0.56330216,0.2106755
0.32415593,0.48514122,0.90844864,0.23859899,-1.3063054,-0.7206528,2.0061026,1.1124603,-0.66468346,0.33153757
0.40779403,0.54045916,0.66764957,0.33545843,-1.0589467,-0.46129236,1.64879,0.78354746,-0.81613135,0.2219327
0.3496088,0.6355642,0.9303596,0.6164871,-1.400089,-0.5206205,2.116918,1.1792322,-0.6756297,0.15199444
0.38510093,0.6927527,0.6743135,0.32420868,-1.0597982,-0.5088875,1.7480298,0.9772768,-0.6947715,0.20911433
0.49131894,0.40451735,0.74047124,0.41329744,-1.4591693,-0.26876658,1.8817828,1.126138,-0.63027066,-0.030994039
0.2367563,0.51331544,0.97349864,0.39214063,-1.3394293,-0.15698402,1.8493807,1.2792284,-0.71864134,-0.07050958
0.40909845,0.81010497,0.5993205,0.16003068,-1.1697664,-0.41372743,1.7475698,1.1926049,-0.81230265,-0.007064314
-0.20711611,0.7200866,-1.0755432,1.4408259,-0.22158445,-1.8018197,2.6131423,0.44344237,-1.5314525,-1.0598725
0.16421402,1.2822084,-1.6324338,1.4534856,0.53613526,-3.0193028,2.4296386,1.7068022,-1.4342656,-0.85131234
-0.014474447,2.6124964,0.49871677,0.4593581,0.36970916,0.69889945,0.61540014,1.2173926,-2.8932772,-1.9009813
-0.26434013,-0.11081359,-0.35940048,0.41643393,0.8696513,-0.18498954,0.37779605,-0.2951119,-1.0988503,-1.2240281
-0.1167472,0.39323354,0.29357335,1.1658766,0.852407,-1.468585,0.15496708,1.2729262,-1.5649438,0.35828742
0.43788275,0.2501517,-0.26963925,1.7401593,0.69511014,-1.1598029,0.4065984,0.8737285,-0.68267757,0.18232898
-0.7581504,0.35557368,-0.05755276,-0.659106,1.3380679,-1.1669681,0.64465815,-0.65564275,-1.3915958,-0.4190131
