p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20
-0.69296557,0.22788101,0.54894483,-0.3984744,-0.23314759,-0.2932997,0.3406046,0.9633925,0.29007524,-0.67266697,0.75883174,0.24530873,0.42446908,-0.36725926,1.7670742,-0.5001639,-1.3189839,0.65257484,0.7825589,-0.3190979,1.0363414
-1.0791674,1.2942595,0.1968509,0.4162749,0.795679,1.514802,-0.3405353,1.4363905,-0.75596774,-0.50347114,0.9897278,-0.1807875,0.26018023,0.9630575,1.7241113,1.3509897,-0.9425164,0.22160149,-1.5731544,0.08611937,1.2941475
-0.82929283,0.015699226,0.4290995,1.4931449,0.50079703,1.8135823,-0.22966541,1.4837719,0.2376457,-0.61249024,0.672569,-0.3446047,1.6423753,0.2699785,1.1352845,0.6934677,-1.6193354,0.48716393,-1.4505686,0.10525732,0.2735589
-1.7364318,-0.32210445,-0.68573767,0.44221047,-0.45258543,-0.70136034,-0.8625856,1.36472,-0.39026022,-0.57120055,0.08437654,2.0251832,-1.1802268,1.0625058,1.5948604,-0.49557272,-0.48068926,0.676966,-0.3524707,-0.5589177,-0.37265366
-0.8432366,0.15850668,0.21644421,-1.7252333,0.7292237,1.3166621,1.1247131,0.609766,0.15973403,-1.3358828,0.5443717,0.8687334,1.1679089,-0.40558898,0.45003963,-1.2572639,-1.2870181,-0.7229576,0.4848833,-0.24492939,0.60719734
-0.88575155,0.87434816,0.0664858,0.28222075,1.0019308,-0.26173356,0.95861906,-0.082671314,-0.061432198,-0.14314756,1.2745483,0.075621024,0.24890986,0.4378423,0.60103124,0.6225848,-0.65053064,-0.102610044,-0.2834285,-0.12389426,0.23046905
-0.79802006,1.0762134,0.26406097,0.66251606,1.0424907,-0.4713856,0.6788414,-0.12895305,-0.07561697,0.009788699,1.4106592,-0.13330743,0.33931315,-0.08234988,0.81683713,0.71748114,-0.6918973,-0.5916396,-0.45877394,0.073530294,0.1215083
-0.17173481,0.5217716,-0.5037815,-0.023898846,1.9796801,0.043692462,0.17234297,0.36997768,-0.2757758,-1.5595052,1.0270228,1.052841,-0.8701972,0.5621465,0.97242874,-0.5590446,-2.3074636,0.24090928,1.0735126,-1.3894432,-0.3354056
-0.32668623,1.1573431,-1.1199287,0.088905156,0.4129204,0.21469432,-0.0417201,0.54218936,0.83935136,-0.7669661,1.1868131,1.3430425,0.8243156,1.6406724,1.0398597,-0.43802518,-0.37475392,-0.31386197,-0.7428796,-0.21438,1.0010507
-0.9403417,1.7185478,-1.3264202,0.95343,-0.020293588,-0.18837255,0.803244,0.23406294,1.4433643,-1.1786742,2.1818733,0.3105604,1.3344328,0.80860084,0.2371297,0.31034464,-0.38057274,0.3612109,0.35784554,-0.102609,0.9091081
-0.97819686,0.9995971,-0.7228417,0.028230274,0.7461167,1.0025148,-0.13668227,1.1405613,0.2519246,0.23398337,1.0211678,0.611873,0.75356245,0.39186415,0.71429205,-0.30137658,-0.78845876,0.117449455,0.3297354,0.24737595,-0.14323021
-1.1845727,0.8559641,-0.45992333,-0.45712927,-0.16814071,0.3686428,1.2004418,0.3899995,-0.39837041,-0.86742836,0.5183891,0.5396471,-0.077670306,1.2787735,0.7296426,0.15505108,-0.5874082,0.66705894,0.056660995,-0.5406088,0.35219887
-1.0091844,0.96447074,0.57386464,-0.13690262,1.0776988,-0.33649966,0.5655896,-0.14683852,0.8039402,-0.4015414,1.6031812,-0.062472343,0.36167297,0.36666602,1.2613832,1.0724288,-0.017578254,-0.16568723,-0.38302785,-0.07236386,-0.105220236
-1.733081,-0.27174202,-1.3703808,1.2975523,-0.99804205,-0.13583557,0.21260177,0.0751999,-1.4015272,-0.08501307,1.7978071,1.3210158,0.38112798,0.58042896,0.22179328,-0.9167225,0.079336025,0.044145208,0.51535946,0.02199355,0.046784904
-1.0523438,0.8061483,0.8688614,-0.7290549,0.85752916,0.48869747,-0.61486214,-0.05686308,1.4274871,-0.5853571,1.8746852,0.5408886,0.54578763,1.0466359,0.94491524,1.4866716,-0.21302626,-0.19979061,-0.21872562,0.058466602,-0.05406496
-0.8308227,-0.20988126,0.0872453,0.07806532,0.30469802,-0.24646188,0.849075,1.1317614,-0.30276012,0.12612644,0.36456424,0.07958693,-1.1204499,-0.20187657,0.20266558,-0.26159254,-0.5624584,0.21583806,-0.7822674,-0.7049193,-0.22842896
-0.09674785,-0.912118,-0.22451669,0.6802224,0.70181704,-0.3198493,0.9752639,-0.23040286,-0.44747698,-0.87565994,1.8555021,1.0506953,0.532002,-0.3215094,0.9059982,2.0840764,1.102773,-0.6500802,0.12828264,-0.25666752,0.92425096
-0.1505783,-0.8350367,0.21173435,0.3903366,0.54744107,0.25995594,0.81050265,0.3969993,0.13893408,-0.96288836,1.8863847,1.034839,0.86770356,0.31989428,0.4700414,0.8775555,0.4173067,-1.0150969,-0.028391374,0.029699853,1.1894697
