p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18
0.81795555,-1.1519142,-0.30996922,1.574109,-0.28451604,0.7395175,0.1242776,0.6371984,-1.5984111,0.8786285,-0.0686123,-1.5418799,-0.24748263,0.38905352,0.35109603,1.1025988,1.5236166,0.15055831,-0.19907929
1.128985,-0.51333785,0.17400478,1.9545592,-0.5147956,0.76875466,0.45805186,0.7253148,-1.3088708,1.6501535,0.26524934,-2.7799363,-0.5482594,0.4856394,-0.3526598,0.2749968,1.8955377,0.36638388,-0.43190366
1.7498182,-1.3000312,0.63636196,1.3148884,-0.4373138,0.101363055,0.40202516,-0.48702726,-0.2567154,0.67210793,0.76847684,-2.5930128,-0.33890283,0.2872459,-0.3287747,0.9163999,1.7556704,-0.34627917,0.26338696
1.1159576,-1.1251473,0.40519944,1.3485966,0.0078738,0.28852618,0.21899344,0.19275668,-0.66532063,0.5830685,0.47169426,-1.5774873,-0.33758032,0.592522,-0.32937092,0.69147676,0.85141176,-0.12140721,0.11783486
1.0601358,-0.32603285,0.31523922,1.5802705,-0.9259768,-0.4532924,-0.16099653,0.056938842,0.009217487,1.003241,1.2738591,0.19085784,-0.6431017,0.41540855,-0.24617551,-0.582105,-0.82393897,-0.39667362,-0.28959846
1.4192103,-0.0048586642,-0.39717066,0.41100964,-0.6134603,-0.06617157,0.11155612,0.69930756,-0.36675242,1.3956769,-0.47189674,-0.41554016,0.4135469,1.2682551,-0.6573543,0.34841704,0.37816292,0.2059556,1.4027892
1.1951622,-0.11748881,-0.4331059,0.29933527,-0.36287647,-0.12592979,0.3190527,0.4271788,-0.49946183,1.0533711,-0.4442459,-0.22403006,0.27271658,0.9052979,-0.84908766,0.37171248,-0.20792003,0.14824876,1.3772345
1.2537848,-0.08440743,-0.30429593,0.2943218,-0.030965947,0.02766891,0.059480697,0.5848343,-0.4822657,1.0444295,-0.46857354,-0.35042694,0.114587136,1.0102186,-0.864774,0.5791619,-0.07691463,0.289403,1.296675
1.1929299,-0.115956746,-0.29518482,0.503865,-0.11078956,0.06727811,0.05793908,0.4993647,-0.45191032,0.95655024,-0.5379015,-0.24019445,0.2703158,0.9433888,-0.73464537,0.45750862,-0.10658497,0.18106103,1.1316048
1.3627504,-0.14668341,-0.0027855982,0.695007,0.2668628,0.48108593,0.18259928,-0.20661332,-0.39560598,0.8280807,0.19618964,-0.3999717,0.80100614,1.1395357,-0.19676138,0.3316298,-0.025214806,0.0072381045,1.1856847
1.0817574,-0.014683846,0.048039705,0.44404966,0.6177633,0.8073791,0.11033257,-0.28130412,-0.30171368,0.49484143,0.23394047,-0.02532352,0.59203196,0.93561834,-0.30372572,0.4971045,-0.29655686,-0.29492235,0.9817502
1.0497239,-0.04526288,0.08022401,0.50578874,0.6270516,1.0151222,0.18513852,-0.23056057,-0.21517925,0.4370851,-0.008178164,-0.014551382,0.40480956,1.0671303,-0.39766225,0.49172446,-0.4462251,-0.39238644,1.0034126
1.0314164,-0.40986,-0.22731242,0.57891536,-0.013726623,0.21802796,0.013103506,-0.115858905,-0.034169264,0.44509563,-0.07904438,-0.24156436,0.6180483,0.7080239,-0.28724965,0.42664593,-0.18797417,0.20696831,0.81789523
