p_0,p_1,p_2,p_3
-2.6527972,-0.358675,2.0843184,-0.66674817
-2.6719792,-0.45804372,2.100404,-0.56424534
-0.14085822,-1.502101,1.4882853,-0.4736568
-1.0335711,-2.5222962,2.3923228,-1.015472
-0.43945608,-1.3257686,1.5232071,-0.49059325
-0.8154746,-0.2354887,0.8471015,-0.8761058
-0.54393375,-1.4122963,1.8606014,-0.5086394
-0.35075378,-2.023687,1.8159926,-0.62802076
-0.69627774,-1.8201056,1.7495483,-1.2615899
-1.9024739,0.2172908,4.555724,-2.1423008
-2.0933855,0.91160995,2.406606,-0.7091452
-1.1763947,-1.6335377,0.64881563,3.416737
-2.1847067,-1.62944,1.048515,3.6859453
-4.086024,-1.4177257,1.1700238,-0.5304115
-3.0067856,0.7621209,1.5472524,0.46993163
-2.003484,-2.7589571,2.8711598,-1.1033542
-2.1202922,-2.9642532,3.2584488,-1.1756581
-1.5869999,-1.7859044,2.698934,-1.2583277
-1.9864559,-2.8272643,3.040445,-1.1489173
-1.6580892,-1.1567262,1.4972075,0.0357156
-2.6070707,0.12993409,0.9908866,-0.84469235
-3.8110259,-0.7796755,2.0560057,0.24498166
-2.6569312,-0.3382739,1.1385615,0.9120514
-4.526126,-1.3338546,2.7074034,0.52921706
-7.333863,-1.1449682,4.1101418,0.26831743
-0.4697545,2.3407629,3.0192342,-1.2833781
-4.03962,0.35018742,2.2850296,-0.0988207
-3.8677905,0.026040671,2.2864044,-0.12671342
0.31976712,1.7189449,4.159886,-0.89326787
0.47472855,2.0019667,3.400374,-0.062869124
0.4147332,1.8745668,3.3675025,-0.18747196
0.24411373,1.9608572,3.2713394,-0.18570152
2.070953,0.99316496,4.7668095,-0.023034371
2.061188,1.5038223,4.920582,0.0027572566
1.9157559,1.1166848,4.7380967,-0.22569805
0.98050666,2.7152617,4.0239105,-0.028860891
0.6326972,2.845949,4.3869915,-0.41414282
-4.0191674,0.13216224,2.1883352,0.08690521
-3.237838,-0.8202976,2.3145902,-0.5200495
0.3561576,0.49414515,1.4725966,0.1520093
-0.42845914,2.4456615,2.6892567,-1.4394736
-0.845894,-3.6979733,2.2532635,0.48083654
-1.1063197,-1.8596694,1.0891446,2.3049874
-2.839327,-0.35464093,3.7947414,-1.8446625
-1.7386513,0.42205814,1.8507925,-0.6234455
0.25736573,-2.1795285,1.8092681,0.68295723
-2.0978224,0.47609115,2.2633178,-0.73301107
-1.5299108,0.32681578,2.3575985,-0.8821476
-0.77474284,-0.5727938,1.7866347,-0.81785315
-0.7601754,-0.20228444,2.0168371,-0.81852525
-1.0794543,-0.117581636,2.0860233,-0.7314533
-1.0028621,-3.3438232,1.3029687,0.60028714
-1.9466877,-3.735521,1.4091854,3.421365
-3.0947874,0.3221805,1.248214,1.2246962
-2.8564892,-0.9042029,2.7738576,-1.1606382
-2.0970736,-2.963915,1.1802973,1.1395142
-1.7635764,-1.8183554,2.147177,-0.57487506
-2.0100386,0.48029858,2.164942,-0.68633646
-2.1122081,0.43265355,2.1444697,-0.65240455
-1.870309,0.73893,2.2595031,-0.70767236
-2.1834667,0.5674478,2.1734812,-0.65048075
-2.0756502,0.7523301,2.2287667,-0.60548073
-2.03943,0.87568533,2.2850924,-0.63404167
-2.0323675,0.52434814,2.5768278,-0.90852386
-1.6706145,0.5751942,2.1893053,-0.7586354
-1.7312315,0.36369383,2.986258,-1.9491038
-1.118728,0.8664832,2.2648678,-0.6062528
-0.66271627,-0.8822197,1.5705787,-0.7648693
