p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
-0.44702777,0.2961039,1.9598503,-0.5641995,1.4998668,-1.4251894,-1.1243476,2.806665,-1.0787612
-0.4784014,0.2741481,0.8271675,-1.9452938,1.9646868,0.49325615,-0.10696662,-0.6413099,0.59328204
-0.42849633,-0.96384287,0.5835068,0.049262527,3.0100071,3.019008,1.050401,0.2140311,0.17884973
-2.0184329,2.1932635,1.3171,-0.92080724,1.5463763,0.0898317,-0.8365283,-0.13518076,1.186493
-1.899083,1.8715116,1.2563392,0.18168122,1.7202207,0.20717385,-0.24472733,-0.17283377,0.62167823
0.61102515,-1.6970773,2.935473,-0.55092275,-0.41796625,1.2847865,0.47484687,-0.45204678,0.5327204
-1.2364135,-1.4399182,1.6774808,-0.57333356,0.76465124,0.84201646,0.6974956,-0.6571028,0.9159152
-1.5405976,-0.87257034,2.5672219,0.27265507,-0.19810091,1.6849139,0.4496336,-0.5505132,1.579425
-1.0267904,-0.8077322,1.9576843,-0.12013384,0.69806236,1.3013898,0.7123559,0.021816095,1.3409636
-1.9042166,-1.2804654,2.3942776,0.52021784,-0.023614956,1.8585005,0.7517777,-0.2108097,1.1443357
-1.5715507,-1.4138142,3.0231168,-0.9283075,-0.2578604,1.6051546,-0.7035935,-0.5357608,1.5085489
-1.7414204,-0.9449333,2.6268115,0.44212267,0.42133358,1.5551212,0.5360452,-0.16686691,1.3185835
-0.18022431,-1.4485457,2.9428265,0.2590769,-0.5388333,1.6692908,-0.7613194,-0.9867091,1.889044
-1.7688116,-0.60420525,0.72282654,-0.19126187,1.5966833,-0.80516815,-0.7789,0.89965147,-0.4751972
-0.53790444,1.5839233,1.1656842,0.86928165,1.2823445,1.0140129,1.6047007,0.4560132,-0.24117349
-0.57136554,1.1280235,2.0582082,0.5478822,0.62494963,-0.041827504,2.049096,0.18352859,-1.6927719
-1.1067237,2.3162868,2.5941992,1.4111027,0.7874044,0.6057955,2.1601803,-0.8971857,1.1339824
